locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_500610	SNOO_500610_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_104700	SNOO_104700A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_104700	SNOO_104700A_2	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_414470	SNOO_414470A_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_140770	SNOO_140770A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_107040	SNOO_107040A_1	0.084895255654948	0.5274725274725256	0.084895255654948
SNOO_158180	SNOO_158180A_2	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_447800	SNOO_447800A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_506430	SNOO_506430_1	0.3671328671328668	0.4195804195804207	0.3671328671328668
SNOO_558880	SNOO_558880_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_080600	SNOO_080600A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_308090	SNOO_308090A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_012890	SNOO_012890A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_408130	SNOO_408130A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_143640	SNOO_143640A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_132970	SNOO_132970A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_409410	SNOO_409410A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_426170	SNOO_426170A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_148910	SNOO_148910A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_009690	SNOO_009690A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_014170	SNOO_014170A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_564790	SNOO_564790_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_301550	SNOO_301550A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_406100	SNOO_406100A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_027500	SNOO_027500A_2	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_072460	SNOO_072460A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_553590	SNOO_553590_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_079570	SNOO_079570A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_417830	SNOO_417830A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_301930	SNOO_301930A_1	0.4038461538461523	0.4615384615384615	0.4038461538461523
